Genre;Title;Chords;Lyrics
Pop; Set Fire to the Rain; i v bVII IV; "I let it fall, my heart And as it fell, you rose to claim it It was dark and I was over Until you kissed my lips and you saved me My hands, they were strong But my knees were far too weak To stand in your arms Without falling to your feet When laying with you I could stay there Close my eyes, feel you here forever You and me together, nothing is better"
Pop; Set Fire to the Rain; iv iv i i bVI bVII; "But there's a side to you That I never knew, never knew All the things you'd say They were never true, never true And the games you'd play You would always win, always win"
Pop; Set Fire to the Rain; i i bVII bVII iv iv i bVII; "But I set fire to the rain Watched it pour as I touched your face Well, it burned while I cried 'Cause I heard it screaming out your name Your name. I set fire to the rain And I threw us into the flames When we fell, something died 'Cause I knew that that was the last time The last time, oh"
Pop; Someone Like You; I iii vi IV; "Nothing compares, no worries or cares Regrets and mistakes, they're memories made Who would have known how bittersweet this would taste? You know how the time flies Only yesterday was the time of our lives We were born and raised in a summer haze Bound by the surprise of our glory days I heard that you're settled down That you found a girl and you're married now I heard that your dreams came true Guess she gave you things I didn't give to you Old friend, why are you so shy? Ain't like you to hold back or hide from the light"
Pop; Someone Like You; V vi IV IV; "I hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that for me, it isn't over"
Pop; Someone Like You; I V iv IV; "Never mind, I'll find someone like you I wish nothing but the best for you, too Don't forget me, I beg I'll remember, you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead"
Pop; Say Something; i VI bIII bVII; "Say something, I'm giving up on you I'll be the one, if you want me to Anywhere, I would've followed you Say something, I'm giving up on you"
Pop; Say Something; I I I6 I6 IV IV I V; "And I will swallow my pride You're the one that I love And I'm saying goodbye And I am feeling so small It was over my head I know nothing at all And I will stumble and fall I'm still learning to love Just starting to crawl"
Pop; Double Vision; I I I I; "Lets do this outside Shut down the whole block Watch the girls strut by like it's a catwalk We're livin' easy We've got the whole day (whole day) And we can go hard no matter what the cops say. The sun is so hot The drinks are so cold Your clothes just fall off, as the day goes We're gonna stay up, ain't gonna lay low We're gonna dance all night because we say so"
Pop; Double Vision; IV V iv V; "I'm thinking maybe I can't have relationships 'Cause lately they're not making any sense And baby you're the one thing on my mind that can change anytime"
Pop; Double Vision; IV III vi V; "'Cause there's so many fine women That my head is spinning And I've lost all feeling Everybody's singing like Hey na na na hey hey na na na na Hey na na na hey hey na na na na"
Pop; Amnesia; I IV I IV ii IV I IV;  "The pictures that you sent me They're still living in my phone I'll admit I like to see them, I'll admit I feel alone And all my friends keep asking why I'm not around It hurts to know you're happy Yeah, it hurts that you moved on It's hard to hear your name When I haven't seen you in so long It's like we never happened, was it just a lie? If what we had was real, how could you be fine? 'Cause I'm not fine at all. I drove by all the places we used to hang out getting wasted I thought about our last kiss How it felt, the way you tasted And even though your friends tell me you're doing fine Are you somewhere feeling lonely Even though he's right beside you? When he says those words that hurt you Do you read the ones I wrote you? Sometimes I start to wonder, was it just a lie? If what we had was real, how could you be fine? 'Cause I'm not fine at all"
Pop; Amnesia; I V vi IV; "I remember the day you told me you were leaving I remember the make-up running down your face And the dreams you left behind, you didn't need them Like every single wish we ever made I wish that I could wake up with amnesia And forget about the stupid little things Like the way it felt to fall asleep next to you And the memories I never can escape."
Pop; Lay All Your Love On Me; i i V V i ii07 i6 IV; "I feel a kind of fear When I don't have you near Unsatisfied, I skip my pride I beg you dear"
Pop; Lay All Your Love On Me; V i bVI V; "It was like shooting a sitting duck A little small talk, a smile and baby I was stuck I still don't know what you've done with me A grown-up woman should never fall so easily, Don't go wasting your emotion Lay all your love on me"
Pop; Lay All Your Love On Me; i i i i bVII bVII; "I wasn't jealous before we met Now, every woman I see is a potential threat And I'm possessive, it isn't nice You've heard me saying that smoking was my only vice But now it isn't true Now everything is new And all I've learned has overturned I beg of you"
Pop; Take on Me; ii7 V7 I IV7 iii7; "All the things that you say, yeah Is it life or just to play my worries away? You're all the things I've got to remember You're shying away I'll be coming for you anyway, So needless to say I'm odds and ends But I'll be stumbling away Slowly learning that life is okay Say after me It's no better to be safe than sorry, We're talking away I don't know what I'm to say I'll say it anyway Today is another day to find you Shying away I'll be coming for your love, okay?"
Pop; Take on Me; I iii7 vi7 IV; "Take on me (take on me) Take me on (take on me) I'll be gone In a day or two, Take on me (take on me) Take me on (take on me) I'll be gone In a day or two"
Pop; Gimme A Man After Midnight; IV IV IV i bVI bVI ii07 V; "Movie stars) find the end of the rainbow With a fortune to win It's so different from the world I'm living in (Tired of TV) I open the window And I gaze into the night But there's nothing there to see, no one in sight There's not a soul out there No one to hear my prayer, (Half past 12) and I'm watching the late show In my flat all alone How I hate to spend the evening on my own (Autumn winds) blowing outside the window As I look around the room And it makes me so depressed to see the gloom There's not a soul out there No one to hear my prayer"
Pop; Gimme A Man After Midnight; i iv bVII i i bVII i i; "Gimme, gimme, gimme a man after midnight Won't somebody help me chase the shadows away? Gimme, gimme, gimme a man after midnight Take me through the darkness to the break of the day"
Pop; When We Were Young; vi I IV I ii7 ii7 I I; "I was so scared to face my fears Nobody told me that you'd be here And I'd swear you moved overseas That's what you said, when you left me Everybody loves the things you do From the way you talk To the way you move Everybody here is watching you 'Cause you feel like home You're like a dream come true"
Pop; When We Were Young; IV V ii IV; "You look like a movie You sound like a song My God this reminds me, of when we were young"
Pop; When We Were Young; I I6 IV V; "Let me photograph you in this light In case it is the last time That we might be exactly like we were Before we realized We were scared of getting old It made us restless It was just like a movie It was just like a song"
Pop; The Sun Always Shines On TV; iii iii vi7 IV I I V V; "Touch me, how can it be? Believe me, the sun always shines on TV Hold me close to your heart Touch me and give all your love to me, to me."
Pop; The Sun Always Shines On TV; i bVI iv bVII BIII i iv bVI; "I reached inside myself and found Nothing there to ease The pressure of my ever worrying mind Oh, oh-oh-oh All my powers waste away I fear the crazed and lonely Looks the mirror's sending me these days Oh, oh-oh-oh"
